anyo;liga;equipoId;equipoNombre;estadio;publicoEstadio;equipoDivision;clasificacionFinal;G;Ghome;W;L;DivWin;WCWin;LgWin;WSWin;R;AB;H;B2;B3;HR;BB;SO;SB;CS;HBP;SF;RA;ER;ERA;CG;SHO;SV;IPouts;HA;HRA;BBA;SOA;E;DP;FP;BPF;PPF
1873;NA;ELI;Elizabeth Resolutes;Waverly Fairgrounds;;;8;23;;2;21;;;N;;98;869;204;25;8;0;9;30;4;4;;;299;75;326;22;0;0;621;343;6;10;10;244;14;789;92;103
2011;NL;FLO;Florida Marlins;Sun Life Stadium;1477462;E;5;162;78;72;90;N;N;N;N;625;5508;1358;274;30;149;542;1244;95;41;51;42;702;640;395;7;11;40;4379;1403;149;500;1218;93;126;985;99;100
1871;NA;FW1;Fort Wayne Kekiongas;Grand Duchess;;;7;19;;7;12;;;N;;137;746;178;19;8;2;33;9;16;4;;;243;97;517;19;1;0;507;261;5;21;17;163;8;803;101;107
1877;NL;HAR;Hartford Dark Blues;Union Grounds;;;3;60;;31;27;;;N;;341;2358;637;63;31;4;30;97;;;;;311;140;232;59;4;0;1632;572;2;56;99;313;32;885;90;87
2021;AL;HOU;Houston Astros;Minute Maid Park;2068509;W;1;162;81;95;67;Y;N;Y;N;863;5593;1496;299;14;221;569;1222;53;16;64;54;658;607;378;2;8;34;4335;1231;187;549;1456;69;126;988;101;99
1875;NA;HR1;Hartford Dark Blues;Hartford Ball Club Grounds;;;3;86;;54;28;;;N;;557;3356;871;92;35;2;34;64;65;33;;;343;134;157;83;13;0;2310;708;4;11;152;438;47;881;107;105
1878;NL;IN1;Indianapolis Blues;South Street Park;;;5;63;;24;36;;;N;;293;2300;542;76;15;3;64;197;;;;;328;149;232;59;2;1;1734;621;3;87;182;290;37;898;87;89
1884;AA;IN2;Indianapolis Hoosiers;Seventh Street Park I;;;12;110;;29;78;;;N;N;462;3813;890;129;62;20;125;561;;;22;;755;438;420;107;2;0;2813;1000;30;199;479;515;45;889;97;100
1889;NL;IN3;Indianapolis Hoosiers;;;;7;135;;59;75;;;N;N;819;4879;1356;228;35;62;377;447;252;;44;;894;633;485;109;3;2;3523;1365;73;420;408;420;102;926;102;104
1914;FL;IND;Indianapolis Hoosiers;;;;1;157;;88;65;;;Y;;762;5176;1474;230;90;33;470;641;273;;;;622;475;306;104;15;9;4191;1352;29;476;664;275;113;957;111;108
1967;AL;KC1;Kansas City Athletics;;726639;;10;161;81;62;99;;;N;N;533;5349;1244;212;50;69;452;1019;132;59;;;660;584;368;26;10;34;4284;1265;125;558;990;132;120;978;97;99
1889;AA;KC2;Kansas City Cowboys;Exposition Park;;;7;139;;55;82;;;N;N;852;4947;1256;162;76;18;430;626;472;;66;;1031;583;436;128;0;2;3613;1373;51;457;447;611;109;899;105;108
2021;AL;KCA;Kansas City Royals;Kauffman Stadium;1159613;C;4;162;81;74;88;N;N;N;N;686;5427;1349;251;29;163;421;1258;124;33;55;52;788;731;464;1;7;37;4252;1375;189;591;1344;84;152;985;105;106
1914;FL;KCF;Kansas City Packers;;;;6;154;;67;84;;;N;;644;5127;1369;226;77;39;399;621;171;;;;683;516;341;82;10;12;4083;1387;37;445;600;279;135;957;97;97
1886;NL;KCN;Kansas City Cowboys;Association Park;;;7;123;;30;91;;;N;N;494;4236;967;177;48;19;269;608;96;;;;872;575;485;117;4;0;3200;1345;27;246;442;482;79;910;106;114
1884;UA;KCU;Kansas City Cowboys;;;;11;82;;16;63;;;N;;311;2802;557;104;15;6;123;529;;;;;618;316;405;70;0;0;2108;862;14;127;334;520;51;861;87;92
1875;NA;KEO;Keokuk Westerns;Perry Park;;;13;13;;1;12;;;N;;45;449;81;9;6;0;1;22;4;6;;;88;23;183;13;0;0;339;111;0;12;20;78;5;860;105;109
2021;AL;LAA;Los Angeles Angels of Anaheim;Angel Stadium of Anaheim;1515689;W;4;162;82;77;85;N;N;N;N;723;5437;1331;265;23;190;464;1394;79;26;59;25;804;741;469;1;4;39;4265;1373;188;592;1453;88;131;985;102;103
2021;NL;LAN;Los Angeles Dodgers;Dodger Stadium;2804693;W;2;162;81;106;56;N;Y;N;N;830;5445;1330;247;24;237;613;1408;65;17;104;45;561;486;301;1;17;56;4356;1107;161;486;1599;89;94;985;100;97
1877;NL;LS1;Louisville Grays;Louisville Baseball Park;;;2;61;;35;25;;;N;;339;2355;659;75;36;9;58;140;;;;;288;140;225;61;4;0;1677;617;4;41;141;267;37;904;117;117
1891;AA;LS2;Louisville Colonels;Eclipse Park I;;;8;138;;54;83;;;N;;698;4764;1229;127;68;17;438;465;227;;68;;873;567;422;126;9;1;3630;1334;32;451;481;454;112;922;97;97
1899;NL;LS3;Louisville Colonels;Eclipse Park II;109319;;9;156;;75;77;;;N;;833;5336;1491;195;70;40;437;372;234;;78;;782;519;343;135;5;2;4081;1517;35;325;288;399;103;939;100;100
2021;NL;MIA;Miami Marlins;Marlins Park;642617;E;4;162;81;67;95;N;N;N;N;623;5348;1244;226;23;158;450;1553;106;29;65;30;701;622;396;1;8;33;4245;1282;162;529;1381;122;146;979;98;99
